schsp_4237	SCHIZOSACCHAROMYCES_SP._OY26	xxxx	SCHSP
sclsc_4185	SCLEROTINIA_SCLEROTIORUM	665079	SCLS1
selmo_3075	SELAGINELLA_MOELLENDORFFII	xxxx	SELML
sepmu_5783	SEPTORIA_MUSIVA_SO2202	XXXX	SEPMU
seppo_5784	SEPTORIA_POPULICOLA	XXXX	SEPPO
serla_4812	SERPULA_LACRYMANS_S7_3	xxxx	SERLA
setit_3944	SETARIA_ITALICA	xxxx	SETIT
settu_5785	SETOSPHAERIA_TURCICA_ET28A_	XXXX	SETTU
solly_3622	SOLANUM_LYCOPERSICUM	4081	SOLLC
soran_3200	SOREX_ARANEUS	42254	SORAR
sorbi_2164	SORGHUM_BICOLOR	4558	SORBI
sorce_5645	SORANGIUM_CELLULOSUM_SO_CE_56	XXXX	SORC5
glyma_3600	GLYCINE_MAX	3847	SOYBN
spetr_2594	SPERMOPHILUS_TRIDECEMLINEATUS	43179	SPETR
spipu_1928	SPIZELLOMYCES_PUNCTATUS	109760	SPIPN
spofi_5786	SPORORMIA_FIMETARIA_	XXXX	SPOFI
sporo_2948	SPOROBOLOMYCES_ROSEUS	xxxx	SPORO
strpu_2714	STRONGYLOCENTROTUS_PURPURATUS	7668	STRPU
sulmu_5675	CANDIDATUS_SULCIA_MUELLERI_DMIN	XXXX	SULMD
sulso_5336	SULFOLOBUS_SOLFATARICUS_P2	XXXX	SULSO
sulsp_5649	SULFUROVUM_SP._NBC37-1	XXXX	SULNB
synac_5646	SYNTROPHUS_ACIDITROPHICUS_SB	XXXX	SYNAS
synel_4703	SYNECHOCOCCUS_ELONGATUS_PCC_6301	XXXX	SYNP6
synja_4694	SYNECHOCOCCUS_SP._JA-3-3AB	XXXX	SYNJA
synel_4704	SYNECHOCOCCUS_ELONGATUS_PCC_7942	XXXX	SYNP7
synja_4695	SYNECHOCOCCUS_SP_JA-2-3BA_2-13	XXXX	SYNJB
taegu_310	TAENIOPYGIA_GUTTATA	59729	TAEGU
fugru_372	TAKIFUGU_RUBRIPES	31033	TAKRU
talst_4225	TALAROMYCES_STIPITATUS	XXXX	TALST
tarsy_4059	TARSIUS_SYRICHTA	9478	TARSY
tetni_2348	TETRAODON_NIGROVIRIDIS	99883	TETNG
tetth_3361	TETRAHYMENA_THERMOPHILA	xxxx	TETTH
thaps_3326	THALASSIOSIRA_PSEUDONANA	xxxx	THAPS
theac_5337	THERMOPLASMA_ACIDOPHILUM_DSM_1728	XXXX	THEAC
thean_3327	THEILERIA_ANNULATA	xxxx	THEAN
theel_4705	THERMOSYNECHOCOCCUS_ELONGATUS	XXXX	THEEB
theha_3971	THELLUNGIELLA_HALOPHILA	xxxx	THEHA
theko_5360	THERMOCOCCUS_KODAKARENSIS_KOD1	XXXX	THEKO
thepa_3328	THEILERIA_PARVA	xxxx	THEPA
thepe_5619	THERMOFILUM_PENDENS_HRK_5	XXXX	THEPD
thest_5803	THERMOMYCES_STELLATUS_CBS_241.64	XXXX	THEST
thetr_4772	THECAMONAS_TRAHENS	xxxx	THETR
thine_5651	THIOBACILLUS_DENITRIFICANS_ATCC_25259	XXXX	THIND
thite_4192	THIELAVIA_TERRESTRIS	xxxx	THIHE
toxgo_3362	TOXOPLASMA_GONDII	508771	TOXGO
